store_id,cat_id,state_id,week_start,units,avg_price,snap_days,event_days,units_lag1,units_lag2,units_lag3,units_lag4,units_lag52
CA_1,FOODS,CA,2011-01-31,18778,3.150412,6,1,,,,,
CA_1,FOODS,CA,2011-02-07,17319,3.1466038,4,0,18778.0,,,,
CA_1,FOODS,CA,2011-02-14,15147,3.127796,0,1,17319.0,18778.0,,,
CA_1,FOODS,CA,2011-02-21,14155,3.1239705,0,1,15147.0,17319.0,18778.0,,
CA_1,FOODS,CA,2011-02-28,16633,3.1216264,6,0,14155.0,15147.0,17319.0,18778.0,
CA_1,FOODS,CA,2011-03-07,16986,3.1128812,4,1,16633.0,14155.0,15147.0,17319.0,
CA_1,FOODS,CA,2011-03-14,14823,3.120203,0,3,16986.0,16633.0,14155.0,15147.0,
CA_1,FOODS,CA,2011-03-21,13752,3.1257043,0,0,14823.0,16986.0,16633.0,14155.0,
CA_1,FOODS,CA,2011-03-28,15512,3.126425,3,0,13752.0,14823.0,16986.0,16633.0,
CA_1,FOODS,CA,2011-04-04,16854,3.1365635,7,0,15512.0,13752.0,14823.0,16986.0,
CA_1,FOODS,CA,2011-04-11,14427,3.1376705,0,0,16854.0,15512.0,13752.0,14823.0,
CA_1,FOODS,CA,2011-04-18,13974,3.1344008,0,1,14427.0,16854.0,15512.0,13752.0,
CA_1,FOODS,CA,2011-04-25,12233,3.1339078,1,1,13974.0,14427.0,16854.0,15512.0,
CA_1,FOODS,CA,2011-05-02,14601,3.130831,7,2,12233.0,13974.0,14427.0,16854.0,
CA_1,FOODS,CA,2011-05-09,15060,3.1181355,2,0,14601.0,12233.0,13974.0,14427.0,
CA_1,FOODS,CA,2011-05-16,12956,3.111032,0,0,15060.0,14601.0,12233.0,13974.0,
CA_1,FOODS,CA,2011-05-23,12399,3.1256137,0,0,12956.0,15060.0,14601.0,12233.0,
CA_1,FOODS,CA,2011-05-30,14906,3.1493568,5,2,12399.0,12956.0,15060.0,14601.0,
CA_1,FOODS,CA,2011-06-06,15466,3.1573184,5,1,14906.0,12399.0,12956.0,15060.0,
CA_1,FOODS,CA,2011-06-13,14701,3.165298,0,1,15466.0,14906.0,12399.0,12956.0,
CA_1,FOODS,CA,2011-06-20,14629,3.1658838,0,0,14701.0,15466.0,14906.0,12399.0,
CA_1,FOODS,CA,2011-06-27,15362,3.1660619,3,0,14629.0,14701.0,15466.0,14906.0,
